raw_x,raw_y,raw_z,raw_yaw,filt_x,filt_y,filt_z,filt_yaw
2.39644,-0.408019,0.400297,-1.55508,2.37573,-0.404976,0.396235,-1.59086
2.4997,-0.444875,0.415393,-1.55506,2.48787,-0.442343,0.413812,-1.58259
2.56395,-0.471883,0.426013,-1.50968,2.56846,-0.472872,0.42674,-1.56821
2.66004,-0.507481,0.440286,-1.51548,2.65894,-0.506866,0.440367,-1.5562
2.82416,-0.557162,0.46609,-1.49452,2.80707,-0.553321,0.463404,-1.54228
2.99026,-0.604269,0.491656,-1.48207,2.97724,-0.602101,0.489674,-1.52796
3.17163,-0.654916,0.518858,-1.47565,3.16226,-0.653356,0.517606,-1.51427
3.7571,-0.0724892,0.599658,-1.73116,3.66241,-0.2137,0.587149,-1.54184
3.39998,-0.0787149,0.545543,-1.71595,3.54227,-0.0531327,0.566673,-1.56523
3.14836,-0.0873486,0.506127,-1.73372,3.25275,-0.0359534,0.521498,-1.58971
2.95221,-0.0972016,0.478692,-1.75013,2.98625,-0.0640796,0.48281,-1.61481
2.73712,-0.115176,0.446709,-1.71294,2.74352,-0.10001,0.447375,-1.63201
2.53053,-0.128315,0.41094,-1.69557,2.5258,-0.125438,0.411365,-1.64489
2.44306,-0.139158,0.403092,-1.68495,2.41137,-0.140912,0.397004,-1.65479
2.36222,-0.150863,0.382237,1.46322,2.33801,-0.152631,0.380487,-1.66253
2.24764,-0.159536,0.372839,-1.67708,2.24413,-0.16115,0.370322,-1.66907
2.23998,-0.172906,0.364378,1.45076,2.21881,-0.172669,0.36267,-1.67683
2.19988,-0.187005,0.36659,-1.63667,2.19204,-0.186302,0.36348,-1.67517
2.22805,-0.206538,0.370962,-1.64566,2.21161,-0.204845,0.368526,-1.67466
2.16067,-0.216364,0.360786,-1.61932,2.1715,-0.217426,0.362915,-1.66976
2.15195,-0.233229,0.35971,-1.62609,2.15062,-0.232828,0.359814,-1.66603
2.12823,-0.246856,0.355896,-1.60178,2.12817,-0.247042,0.356111,-1.65858
2.10495,-0.264276,0.352855,-1.61464,2.1051,-0.263656,0.352819,-1.65354
2.1848,-0.293553,0.36555,-1.59766,2.16181,-0.290388,0.361948,-1.64614
2.19731,-0.312428,0.368576,-1.59898,2.19511,-0.312523,0.368047,-1.63947
2.22596,-0.333467,0.374588,-1.58026,2.22584,-0.333763,0.374329,-1.6304
2.27215,-0.357389,0.374184,1.61116,2.26863,-0.356944,0.375547,-1.61436
2.27954,-0.374704,0.38142,-1.52273,2.28561,-0.375785,0.380789,-1.59851
2.37565,-0.405798,0.395948,-1.54097,2.36112,-0.403621,0.393534,-1.58697
2.44532,-0.435604,0.405589,-1.5557,2.43897,-0.434016,0.405014,-1.57891
2.57707,-0.476731,0.429713,-1.50132,2.56165,-0.47349,0.426576,-1.56336
2.68716,-0.513223,0.448771,-1.53056,2.68186,-0.512184,0.447681,-1.55396
2.81911,-0.552493,0.46308,-1.54542,2.81369,-0.551817,0.464029,-1.54801
3.06575,-0.621264,0.505706,-1.48721,3.03716,-0.614378,0.500316,-1.53392
3.30527,-0.689491,0.542452,-1.44165,3.28662,-0.684595,0.539511,-1.51434
3.12542,-0.0858861,0.50237,-1.71255,3.21182,-0.234337,0.518591,-1.53888
2.92098,-0.0971206,0.471939,-1.70391,2.99553,-0.071852,0.482612,-1.56053
2.87228,-0.111977,0.466819,-1.71055,2.87397,-0.0589226,0.465522,-1.58172
2.71772,-0.1222,0.440055,-1.72061,2.72601,-0.0890735,0.441541,-1.60285
2.57507,-0.136043,0.413352,1.49588,2.57824,-0.122255,0.414745,-1.61062
2.44006,-0.144579,0.398109,-1.70009,2.43887,-0.142843,0.396253,-1.62607
2.32124,-0.154136,0.381484,-1.65216,2.31601,-0.155694,0.380088,-1.63266
2.28946,-0.168056,0.37659,-1.67228,2.26629,-0.168637,0.373329,-1.64159
2.22673,-0.18087,0.369511,-1.63805,2.21744,-0.181205,0.367865,-1.64423
2.23671,-0.198402,0.371328,-1.65803,2.21863,-0.197465,0.36883,-1.64948
2.18652,-0.209756,0.364119,-1.61912,2.18852,-0.210363,0.364635,-1.64799
2.17688,-0.225845,0.363366,-1.63213,2.17334,-0.225449,0.362867,-1.64837
2.21723,-0.249174,0.371094,-1.62238,2.20292,-0.247118,0.368703,-1.64698
2.19134,-0.260511,0.365868,-1.62207,2.19624,-0.261745,0.367088,-1.64543
2.10524,-0.268426,0.352899,-1.62724,2.12562,-0.27058,0.356087,-1.64461
2.15861,-0.291575,0.355614,1.56513,2.14155,-0.289501,0.354218,-1.63583
2.19732,-0.312429,0.367636,-1.59853,2.18323,-0.310904,0.363787,-1.63105
2.25538,-0.344881,0.379879,-1.58739,2.24429,-0.341601,0.377253,-1.62487
2.30307,-0.368457,0.386873,-1.57461,2.30023,-0.368327,0.386941,-1.61717
2.30164,-0.386657,0.38381,-1.543,2.313,-0.388499,0.386704,-1.60522
2.4451,-0.428073,0.408784,-1.5621,2.42179,-0.424281,0.404657,-1.59727
2.5163,-0.457908,0.417607,-1.56205,2.51245,-0.457245,0.41748,-1.59009
2.65108,-0.498273,0.441293,-1.55459,2.63916,-0.496265,0.438792,-1.5825
2.77148,-0.539974,0.460635,-1.52964,2.76662,-0.538315,0.459759,-1.57185
2.88516,-0.578133,0.476086,-1.54471,2.88569,-0.578132,0.476861,-1.56465
3.11553,-0.63805,0.511467,-1.54286,3.09086,-0.633544,0.507778,-1.55802
3.34323,-0.700136,0.54735,-1.52135,3.32519,-0.696268,0.544294,-1.54888
3.84851,-0.0639509,0.608371,-1.71245,3.77828,-0.218566,0.60127,-1.57045
3.4,-0.0721179,0.541733,-1.7155,3.56511,-0.0446314,0.5657,-1.59099
3.20463,-0.079005,0.512664,-1.73588,3.28758,-0.0240024,0.523828,-1.61313
2.87123,-0.097755,0.463447,-1.71075,2.92743,-0.059966,0.470971,-1.62952
2.80235,-0.111972,0.454643,-1.7241,2.76666,-0.0969478,0.448731,-1.6465
2.61975,-0.120168,0.426227,-1.69912,2.60585,-0.118709,0.424498,-1.65798
2.43087,-0.131449,0.39582,-1.67593,2.42984,-0.133029,0.396294,-1.66462
2.44472,-0.149635,0.402102,-1.67922,2.40163,-0.149601,0.394621,-1.67089
2.34034,-0.157691,0.385491,-1.65301,2.33472,-0.159582,0.384901,-1.67222
2.26377,-0.168774,0.372021,-1.65166,2.26298,-0.169523,0.372551,-1.67289
2.22653,-0.183315,0.367671,-1.63762,2.21838,-0.182678,0.366157,-1.671
2.15807,-0.194638,0.357665,-1.63006,2.15912,-0.194713,0.357677,-1.6678
2.16025,-0.211364,0.358128,-1.61871,2.14704,-0.210352,0.35613,-1.66284
2.16205,-0.228089,0.359825,-1.60123,2.15198,-0.227313,0.358046,-1.65537
